contest_id,problem_id,title,difficulty,is_experimental,url
agc010,agc010_a,A. Addition,-10000,False,https://atcoder.jp/contests/agc010/tasks/agc010_a
agc025,agc025_a,A. Digits Sum,-598,False,https://atcoder.jp/contests/agc025/tasks/agc025_a
agc030,agc030_a,A. Poisonous Cookies,-197,False,https://atcoder.jp/contests/agc030/tasks/agc030_a
agc026,agc026_a,A. Colorful Slimes 2,-183,False,https://atcoder.jp/contests/agc026/tasks/agc026_a
agc020,agc020_a,A. Move and Win,-78,False,https://atcoder.jp/contests/agc020/tasks/agc020_a
agc054,agc054_a,A. Remove Substrings,-62,False,https://atcoder.jp/contests/agc054/tasks/agc054_a
agc027,agc027_a,A. Candy Distribution Again,114,False,https://atcoder.jp/contests/agc027/tasks/agc027_a
agc024,agc024_a,A. Fairness,144,False,https://atcoder.jp/contests/agc024/tasks/agc024_a
agc002,agc002_a,A. Range Product,170,False,https://atcoder.jp/contests/agc002/tasks/agc002_a
agc037,agc037_a,A. Dividing a String,232,False,https://atcoder.jp/contests/agc037/tasks/agc037_a
agc041,agc041_a,A. Table Tennis Training,245,False,https://atcoder.jp/contests/agc041/tasks/agc041_a
agc046,agc046_a,"A. Takahashikun, The Strider",246,False,https://atcoder.jp/contests/agc046/tasks/agc046_a
agc014,agc014_a,A. Cookie Exchanges,279,False,https://atcoder.jp/contests/agc014/tasks/agc014_a
agc021,agc021_a,A. Digit Sum 2,396,False,https://atcoder.jp/contests/agc021/tasks/agc021_a
agc029,agc029_a,A. Irreversible operation,423,False,https://atcoder.jp/contests/agc029/tasks/agc029_a
agc003,agc003_a,A. Wanna go back home,436,False,https://atcoder.jp/contests/agc003/tasks/agc003_a
agc040,agc040_a,A. ><,443,False,https://atcoder.jp/contests/agc040/tasks/agc040_a
agc012,agc012_a,A. AtCoder Group Contest,474,False,https://atcoder.jp/contests/agc012/tasks/agc012_a
agc019,agc019_a,A. Ice Tea Store,509,False,https://atcoder.jp/contests/agc019/tasks/agc019_a
agc006,agc006_a,A. Prefix and Suffix,516,False,https://atcoder.jp/contests/agc006/tasks/agc006_a
agc039,agc039_a,A. Connection and Disconnection,517,False,https://atcoder.jp/contests/agc039/tasks/agc039_a
agc004,agc004_a,A. Divide a Cuboid,558,False,https://atcoder.jp/contests/agc004/tasks/agc004_a
agc013,agc013_a,A. Sorted Arrays,614,False,https://atcoder.jp/contests/agc013/tasks/agc013_a
agc015,agc015_a,A. A+...+B Problem,620,False,https://atcoder.jp/contests/agc015/tasks/agc015_a
agc035,agc035_a,A. XOR Circle,640,False,https://atcoder.jp/contests/agc035/tasks/agc035_a
agc028,agc028_a,A. Two Abbreviations,645,False,https://atcoder.jp/contests/agc028/tasks/agc028_a
agc034,agc034_a,A. Kenken Race,662,False,https://atcoder.jp/contests/agc034/tasks/agc034_a
agc015,agc015_b,B. Evilator,665,False,https://atcoder.jp/contests/agc015/tasks/agc015_b
agc022,agc022_a,A. Diverse Word,738,False,https://atcoder.jp/contests/agc022/tasks/agc022_a
agc032,agc032_a,A. Limited Insertion,738,False,https://atcoder.jp/contests/agc032/tasks/agc032_a
